epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3806.99,1.43012,1.02919,1.49367,0.78937,0.58912,0.61103,0.3004,1.8003,1.17535,1.92774,0.0005941,0.0005941,0.0005941
43,3894.15,1.44752,1.01516,1.5124,0.73274,0.54172,0.58475,0.29284,1.81991,1.23379,1.93348,0.0005842,0.0005842,0.0005842
44,3981.48,1.46432,1.00943,1.51109,0.53761,0.84071,0.66619,0.33817,1.75566,1.14824,1.87621,0.0005743,0.0005743,0.0005743
45,4067.57,1.43591,0.99062,1.50698,0.50346,0.85676,0.66609,0.30691,1.8002,1.14929,1.91577,0.0005644,0.0005644,0.0005644
46,4155.71,1.42536,1.00464,1.50207,0.56618,0.57296,0.5991,0.29732,1.76893,1.19274,1.87898,0.0005545,0.0005545,0.0005545
47,4242.02,1.39893,0.96591,1.46249,0.74623,0.58909,0.76195,0.38677,1.77665,1.19619,1.88883,0.0005446,0.0005446,0.0005446
48,4329.35,1.39327,0.96,1.47711,0.74664,0.72851,0.76527,0.40208,1.79406,1.20638,1.91551,0.0005347,0.0005347,0.0005347
49,4416.3,1.3958,0.93549,1.48697,0.51307,0.85798,0.76429,0.3014,1.83437,1.20073,1.94282,0.0005248,0.0005248,0.0005248
50,4503.65,1.40566,0.96643,1.48245,0.54526,0.8361,0.65437,0.30752,1.8113,1.16586,1.9198,0.0005149,0.0005149,0.0005149
51,4589.68,1.35802,0.90499,1.45632,0.59358,0.8224,0.79679,0.40708,1.82134,1.17942,1.94895,0.000505,0.000505,0.000505
52,4676.84,1.3692,0.92213,1.46552,0.57647,0.81787,0.79176,0.37897,1.80298,1.15416,1.94235,0.0004951,0.0004951,0.0004951
53,4764.12,1.36668,0.89518,1.45963,0.78251,0.59337,0.78572,0.40921,1.8263,1.17642,1.93116,0.0004852,0.0004852,0.0004852
54,4850.48,1.36839,0.88614,1.45155,0.62434,0.77364,0.64717,0.29692,1.84069,1.12505,1.96921,0.0004753,0.0004753,0.0004753
54,85.7547,1.39916,0.97898,1.50882,0.61121,0.82954,0.66431,0.30384,1.79272,1.16537,1.94389,0.0004753,0.0004753,0.0004753
55,211.457,1.36521,0.93381,1.48515,0.76602,0.55898,0.62976,0.2985,1.88274,1.17901,2.0257,0.0004654,0.0004654,0.0004654
56,295.912,1.33167,0.90163,1.45373,0.786,0.56735,0.68107,0.32902,1.837,1.15155,1.98515,0.0004555,0.0004555,0.0004555
57,381.458,1.3353,0.9011,1.45444,0.76253,0.73039,0.75991,0.34053,1.82683,1.14245,1.97123,0.0004456,0.0004456,0.0004456
58,466.917,1.34056,0.87607,1.46874,0.76731,0.76586,0.78036,0.36872,1.86148,1.14109,2.01527,0.0004357,0.0004357,0.0004357
59,553.238,1.32169,0.87426,1.43487,0.72986,0.78684,0.76238,0.32056,1.84981,1.15696,1.9913,0.0004258,0.0004258,0.0004258
60,638.104,1.30552,0.8421,1.4431,0.47399,0.82248,0.60467,0.30199,1.87509,1.18719,2.0608,0.0004159,0.0004159,0.0004159
61,725.1,1.2926,0.84611,1.43074,0.59028,0.80714,0.61954,0.29226,1.8679,1.17433,2.00252,0.000406,0.000406,0.000406
61,84.1211,1.23754,0.8476,1.42448,0.54401,0.83029,0.63104,0.29732,1.86274,1.2459,2.08568,0.000406,0.000406,0.000406
62,209.163,1.195,0.78911,1.38715,0.76242,0.56485,0.5824,0.27829,1.90064,1.19195,2.12002,0.0003961,0.0003961,0.0003961
63,292.84,1.17054,0.75518,1.36079,0.49898,0.79718,0.61267,0.30097,1.94793,1.1901,2.18105,0.0003862,0.0003862,0.0003862
64,378.289,1.16869,0.75646,1.35981,0.74603,0.71722,0.76184,0.35695,1.90142,1.22172,2.12097,0.0003763,0.0003763,0.0003763
65,462.219,1.17642,0.74376,1.36376,0.73933,0.74366,0.75393,0.35422,1.93926,1.18818,2.15653,0.0003664,0.0003664,0.0003664
66,547.648,1.18111,0.74132,1.34842,0.71118,0.7551,0.75508,0.37295,1.89622,1.17755,2.09813,0.0003565,0.0003565,0.0003565
67,631.725,1.14163,0.70903,1.33899,0.65866,0.81869,0.76448,0.34208,1.90854,1.14023,2.1451,0.0003466,0.0003466,0.0003466
68,716.806,1.26288,0.79866,1.41412,0.58359,0.79722,0.75,0.40933,1.8924,1.19755,2.05357,0.0003367,0.0003367,0.0003367
69,800.925,1.25024,0.77772,1.39599,0.53331,0.80698,0.60482,0.29837,1.87543,1.15619,2.05597,0.0003268,0.0003268,0.0003268
70,886.565,1.22407,0.78992,1.38482,0.6473,0.79458,0.66963,0.32628,1.88022,1.14441,2.07457,0.0003169,0.0003169,0.0003169
71,970.495,1.22539,0.78671,1.37877,0.73464,0.75255,0.77187,0.40085,1.88761,1.15421,2.08324,0.000307,0.000307,0.000307
